school_slug,school_name,short_name,bucket_default,bucket_local,bucket_best_value,tier_name,tier_rank,min_unweighted_gpa,max_unweighted_gpa,min_act,max_act,annual_award_usd,years_assumed,projected_total_usd,residency_rule_type,eligible_states,regional_rule_note,requires_separate_application,application_note,renewable,renewal_note,is_competitive,source_url,source_note,scholarship_page_url,school_notes_short,school_is_active,tier_is_active,tier_last_updated,school_last_updated
oklahoma-state,Oklahoma State University,OSU,true,false,true,Out-of-State Achievement GPA-only 3.25,1,3.25,3.49,,,6000,4,24000,out_of_state,OK,,false,,true,,false,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships/out-of-state-scholarships,2026-2027 published out-of-state assured scholarship table,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships,Published 2026-2027 assured scholarships for incoming freshmen,true,true,2026-05-22,2026-05-22
oklahoma-state,Oklahoma State University,OSU,true,false,true,Out-of-State Achievement GPA-only 3.50,2,3.50,3.74,,,7000,4,28000,out_of_state,OK,,false,,true,,false,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships/out-of-state-scholarships,2026-2027 published out-of-state assured scholarship table,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships,Published 2026-2027 assured scholarships for incoming freshmen,true,true,2026-05-22,2026-05-22
oklahoma-state,Oklahoma State University,OSU,true,false,true,Out-of-State Achievement GPA-only 3.75,3,3.75,,,,9000,4,36000,out_of_state,OK,,false,,true,,false,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships/out-of-state-scholarships,2026-2027 published out-of-state assured scholarship table,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships,Published 2026-2027 assured scholarships for incoming freshmen,true,true,2026-05-22,2026-05-22
oklahoma-state,Oklahoma State University,OSU,true,false,true,Out-of-State Achievement 24-25 ACT / 3.00 GPA,4,3.00,3.24,24,25,9500,4,38000,out_of_state,OK,,false,,true,,false,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships/out-of-state-scholarships,2026-2027 published out-of-state assured scholarship table,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships,Published 2026-2027 assured scholarships for incoming freshmen,true,true,2026-05-22,2026-05-22
oklahoma-state,Oklahoma State University,OSU,true,false,true,Out-of-State Achievement 24-25 ACT / 3.25 GPA,5,3.25,3.49,24,25,10000,4,40000,out_of_state,OK,,false,,true,,false,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships/out-of-state-scholarships,2026-2027 published out-of-state assured scholarship table,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships,Published 2026-2027 assured scholarships for incoming freshmen,true,true,2026-05-22,2026-05-22
oklahoma-state,Oklahoma State University,OSU,true,false,true,Out-of-State Achievement 24-25 ACT / 3.50 GPA,6,3.50,3.74,24,25,10500,4,42000,out_of_state,OK,,false,,true,,false,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships/out-of-state-scholarships,2026-2027 published out-of-state assured scholarship table,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships,Published 2026-2027 assured scholarships for incoming freshmen,true,true,2026-05-22,2026-05-22
oklahoma-state,Oklahoma State University,OSU,true,false,true,Out-of-State Achievement 24-25 ACT / 3.75 GPA,7,3.75,,24,25,11000,4,44000,out_of_state,OK,,false,,true,,false,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships/out-of-state-scholarships,2026-2027 published out-of-state assured scholarship table,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships,Published 2026-2027 assured scholarships for incoming freshmen,true,true,2026-05-22,2026-05-22
oklahoma-state,Oklahoma State University,OSU,true,false,true,Out-of-State Achievement 26-27 ACT / 3.00 GPA,8,3.00,3.24,26,27,10500,4,42000,out_of_state,OK,,false,,true,,false,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships/out-of-state-scholarships,2026-2027 published out-of-state assured scholarship table,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships,Published 2026-2027 assured scholarships for incoming freshmen,true,true,2026-05-22,2026-05-22
oklahoma-state,Oklahoma State University,OSU,true,false,true,Out-of-State Achievement 26-27 ACT / 3.25 GPA,9,3.25,3.49,26,27,11000,4,44000,out_of_state,OK,,false,,true,,false,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships/out-of-state-scholarships,2026-2027 published out-of-state assured scholarship table,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships,Published 2026-2027 assured scholarships for incoming freshmen,true,true,2026-05-22,2026-05-22
oklahoma-state,Oklahoma State University,OSU,true,false,true,Out-of-State Achievement 26-27 ACT / 3.50 GPA,10,3.50,3.74,26,27,11500,4,46000,out_of_state,OK,,false,,true,,false,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships/out-of-state-scholarships,2026-2027 published out-of-state assured scholarship table,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships,Published 2026-2027 assured scholarships for incoming freshmen,true,true,2026-05-22,2026-05-22
